First Name,Last Name,Date,CLASS,SCOUT_NAME,PLAYER_SCHOOL,CONFERENCE,DIVISION,HEIGHT_IN,WEIGHT,POSITION1,POSITION2,THROWING_SIDE_R_L,BATTING_SIDE_R_L_S,OPPONENT_SCHOOL,OPPONENT_CONFERENCE,GAME,INNINGS_PITCHED,HITS_ALLOWED,RUNS_ALLOWED,STOLEN_BASES_ALLOWED,WALKS,STRIKEOUTS_CALLED_VS_RIGHT,STRIKEOUTS_SWINGING_VS_RIGHT,STRIKEOUTS_CALLED_VS_LEFT,STRIKEOUTS_SWINGING_VS_LEFT,HOME_RUNS_ALLOWED,GROUNDOUTS,FLYOUTS,TIME_TO_HOME,PITCH_TOTAL,STRIKES_TOTAL,BATTERS_FACED,FIRST_PITCH_STRIKES,HITS_ALLOWED_LEFT_SIDE,HITS_ALLOWED_MIDDLE,HITS_ALLOWED_RIGHT_SIDE,FASTBALL_VELO_MIN,FASTBALL_VELO_MAX,FB_PITCH_TYPE,TOTAL_SWINGS_FASTBALL,SWINGS_AND_MISSES_FASTBALL,CHASE_SWINGS_FASTBALL,HARD_CONTACT_FASTBALL,BREAKING_BALL_VELO_MIN,BREAKING_BALL_VELO_MAX,BB_PITCH_TYPE,TOTAL_SWINGS_BREAKING_BALL,SWINGS_AND_MISSES_BREAKING_BALL,CHASE_SWINGS_BREAKING_BALL,HARD_CONTACT_BREAKING_BALL,THIRD_PITCH_VELO_MIN,THIRD_PITCH_VELO_MAX,THIRD_PITCH_TYPE,TOTAL_SWINGS_THIRD_PITCH,SWINGS_AND_MISSES_THIRD_PITCH,CHASE_SWINGS_THIRD_PITCH,HARD_CONTACT_THIRD_PITCH,FOURTH_PITCH_VELO_MIN,FOURTH_PITCH_VELO_MAX,FOURTH_PITCH_TYPE,TOTAL_SWINGS_FOURTH_PITCH,SWINGS_AND_MISSES_FOURTH_PITCH,CHASE_SWINGS_FOURTH_PITCH,HARD_CONTACT_FOURTH_PITCH,SCOUTING_NOTES,INJURY_NOTES,CHARACTER_NOTES,PITCHING_NOTES,FIELDING_NOTES,ATHLETE_NOTES,VIDEO_EXISTS,SCHOOL_ID,SCOUT_ID,GAME_KEY,MATCH_ID,-,DIVISION,DATE,AGE,FIRST&LAST,STRIKE %,K/9,BB/9,MISS%,CHASE%,FB MISS%,FB CHASE%,BB MISS%,BB CHASE%,NameHSGradYR,,,
Jacob,Hanns,3/16/2019,So.,Ron Light,Fort Scott Community College,KS,JC,76,180,P,0,L,0,Allen County Community College,KS,Allen County Community College_vs_Fort Scott Community College_03/16/2019,2,2,2,1,0,3,2,0,0,0,0,1,1.33,51,22,12,3,0,0,2,80,85,4-Seam,10,4,0,5,64,65,Curveball,2,0,0,0,70,70,Changeup,3,1,0,1,0,0,-,0,0,0,0,"Hanns is a tall athletic looking pitcher with room to fill out in the upper body. Lower half: Hanns utilizes a high knee lift during the windup. In the stretch, he uses an abbriviated knee lift in an effort to control run game. During the high knee lift,",No known injuries,Even though Hanns had an elevated pitch count after the 1st inning. I didnΓÇÜ├ä├╢ΓêÜ├æΓêÜ┬Ñt observe any frustration on his part. He appeared to stay focused on the task at hand. I would describe it as above average maturity for his age.,"It appeared as though there was something mechanically off with Hanns delivery during this outing. Although there were a lot of strikes called, it didnΓÇÜ├ä├╢ΓêÜ├æΓêÜ┬Ñt appear as though Hanns had complete control of the FB.","After delivery, Hanns lands in an upright position in a relatively good balanced fielding position. Hanns doesn't fall off to the 3rd base side after delivery.",I didnΓÇÜ├ä├╢ΓêÜ├æΓêÜ┬Ñt observe any plays or attempts by Hanns to make athletic plays during this outting. I did observe Hanns make the appropriate pitcher fielding decisions when balls were put into play.,Y,4288,115,,12094,,JC,43540,20,Jacob Hanns,43.1,22.5,0.0,33.3,0.0,40.0,0.0,0.0,0.0,JacobHanns2017,,HS-So.,-2
Blake,Inouye,3/16/2019,Sr.,Will Melville,Brigham Young University-Provo,WCC,1,71,186,P,0,R,0,Gonzaga University,West Coast Conference,Gonzaga University_vs_Brigham Young University-Provo_03/16/2019,1.33,1,0,0,0,1,0,1,0,0,2,0,0,21,14,6,4,0,1,0,83,88,2-Seam,8,1,0,1,67,68,Curveball,0,0,0,0,73,76,Changeup,2,2,1,0,0,0,0,0,0,0,0,"Although he is a bit on the small side, he's got a great curveball, he locates his fastball well, and he has good mechanics.",0,0,"I think he has good fundamental mechanics.  He controls his pitches well, and he didn't throw many balls.  Despite not having the greatest velocity on his pitches, he struck out two batters looking.","He didn't have a great fielding game in this one.  He fielded one ground ball, and then he visibly slipped on the turf, which resulted in an errant throw to first and a runner on base.  If he hadn't slipped, I'm sure he would've fileded it cleanly, so it","He's not the most athletic guy I've ever seen.  He is a little short, and a little skinny.  Despite his small stature, he pitches well.",Y,3095,129,,4524,,01,43540,22,Blake Inouye,66.7,13.5,0.0,30.0,10.0,12.5,0.0,-,-,BlakeInouye2015,,HS-Jr.,-1
Tyler,Huling,3/16/2019,RS-Jr.,Andrew Pop,University of Puget Sound,Northwest Conference,3,72,175,P,0,R,0,Whittier College,Southern California Intercollegiate Athletic Conference,Whittier College_vs_University of Puget Sound_03/16/2019,3,3,4,0,0,2,1,0,0,0,3,0,2.96,54,40,17,12,4,3,2,75,79,2-Seam,20,1,7,5,66,73,Slider,11,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"small guy, has a 3/4 arm slot. Does not use his lower body that much and relies on upper body. Does not have a big stride which could supress some velocity. Does land toes straight to home. when not in the stretch he would move his hand in the glove right",not injured,"was calm, despite the situations",Mainly attacked hitters away. Was not able to attack the inside and as a result hitters were sitting pitches away. He missed with both pitches in the zone which accounted for a majority of the hits. Unable to adjust.,athletic enough to field pitches however unable to field groundballs cleanly and make routine outs.,"Extremely atheltic , was able to make an outstanding play catching a popup from a bunt",Y,2219,154,,12093,,03,43540,22,Tyler Huling,74.1,9.0,0.0,9.7,45.2,5.0,35.0,18.2,63.6,TylerHuling2015,,HS-Sr.,0
Matt,Dallas,3/16/2019,RS-Fr.,Ben Pickett,Lane Community College,Northwest Athletic Conference,JC,72,200,P,INF,R,R,Bellevue College,Northwest Athletic Conference,Bellevue College_vs_Lane Community College_03/16/2019,1.67,1,0,0,0,1,1,0,0,0,0,4,1.2,27,21,7,6,1,0,0,86,90,2-Seam,7,2,0,2,68,75,Slider,3,0,0,0,81,84,Changeup,4,0,0,0,0,0,0,0,0,0,0,Over-the-top righty that will change delivery to interfere with timing.,0,0,Kept hitters guessing and off-balance throwing the changeup in any count.  Would lose feel of breaking pitch.,0,0,Y,1078,152,,12092,,JC,43540,20,Matt Dallas,77.8,10.8,0.0,14.3,0.0,28.6,0.0,0.0,0.0,MattDallas2017,,Fr.,1
Jordan,Jones,3/16/2019,Jr.,Chris Weikel,University of Washington-Seattle Campus,Pacific-12 Conference,1,74,195,P,0,R,R,University of Oregon,Pacific-12 Conference,University of Oregon_vs_University of Washington-Seattle Campus_03/16/2019,7,6,3,0,1,0,1,1,1,0,7,10,1.6,104,66,27,16,2,3,1,82,91,2-Seam,16,1,1,6,74,77,Curveball,3,1,2,0,82,88,Cutter,16,4,5,4,81,84,Changeup,10,3,5,1,0,0,0,0,0,0,Y,2254,204,,1565,,01,43540,21,Jordan Jones,63.5,3.9,1.3,20.0,28.9,6.3,6.3,33.3,66.7,JordanJones2016,,So.,2
Matthew,McGarry,3/16/2019,Sr.,Daryl Semien,Santa Clara University,West Coast Conference,1,75,205,P,0,R,R,Loyola Marymount University,West Coast Conference,Loyola Marymount University_vs_Santa Clara University_03/16/2019,2,5,3,1,3,0,2,0,0,1,1,2,0,58,34,13,10,3,1,1,84,91,4-Seam,12,3,2,2,71,77,Slider,5,1,1,0,75,80,Changeup,4,1,1,1,0,0,0,0,0,0,0,"High 3/4 arm slot with quick whip arm action. Works quickly out of the stretch and throws downhill. He threw a 4-seam fastball, changeup and slider. Tall and athletic frame. Intruiging follow with added strength and velo.",0,0,Matthew controlled the pace and looked to pound the zone. He threw a first pitch strike to 10/13 batters faced. He showed a ton of confidence in all 3 pitches and would throw any of them at any point in the count.,0,0,Y,1777,178,,12091,,01,43540,22,Matthew McGarry,58.6,9.0,13.5,23.8,19.0,25.0,16.7,20.0,20.0,MatthewMcGarry2015,,Jr.,3
Zac,Kristofak,3/16/2019,Jr.,Jake Anders,University of Georgia,Southeastern Conference,1,69,185,P,0,R,R,University of South Carolina-Columbia,Southeastern Conference,University of South Carolina-Columbia_vs_University of Georgia_03/16/2019,0.33,0,1,0,0,0,0,0,0,0,1,0,0,9,5,3,0,0,0,0,87,93,4-Seam,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"only faced three batters, didn't throw any real good pitches. only was able to measure fastball speed. can touch low 90's",0,0,N,2156,3,,12136,,01,43540,21,Zac Kristofak,55.6,0.0,0.0,20.0,0.0,20.0,0.0,-,-,ZacKristofak2016,,Sr.,4
Davis,Vainer,3/16/2019,RS-Jr.,Nick Filipich,The University of Alabama,Southeastern Conference,1,72,185,P,0,R,0,University of Mississippi,Southeastern Conference,University of Mississippi_vs_The University of Alabama_03/16/2019,1.33,0,0,0,1,0,0,0,0,0,1,3,0,23,15,5,4,0,0,0,91,95,4-Seam,6,0,0,1,81,84,Slider,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lean build at 6-1 185,N/A,No concerns,Pitched 1 and 1/3. Did a good job of getting ahaead and pitching to contact and letting his defense work. Recorded 3 flyouts with 1 groundout. Walked 1 batter,0,0,Y,2126,64,,12135,,01,43540,22,Davis Vainer,65.2,0.0,6.8,11.1,11.1,0.0,0.0,33.3,33.3,DavisVainer2015,,RS-Fr.,2
Jake,Agnos,3/15/2019,Jr.,Duncan Wilson,East Carolina University,American Athletic Conference,1,71,207,P,0,L,L,University of Maryland-College Park,Big 10,University of Maryland-College Park_vs_East Carolina University_03/15/2019,7,6,0,0,2,3,3,0,1,0,5,9,0,113,53,28,19,1,1,3,86,92,4-Seam,0,0,0,0,67,79,Curveball,0,0,0,0,80,84,Changeup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,593,206,,12101,,01,43539,21,Jake Agnos,46.9,9.0,2.6,-,-,-,-,-,-,JakeAgnos2016,,RS-So.,3
Blake,Mayfield,3/15/2019,HS-Sr.,Dean Woodward,Flower Mound Marcus High School (TX),TX,HS,74,173,P,0,R,R,Irving High School (TX),TX,Irving High School (TX)_vs_Flower Mound Marcus High School (TX)_03/15/2019,6,1,3,0,1,0,4,0,2,0,11,1,1.74,87,52,23,14,1,0,0,80,87,2-Seam,23,3,0,2,66,68,Curveball,7,4,2,0,71,74,Slider,8,2,3,0,0,0,0,0,0,0,0,"Clean, repeatable delivery with low 3/4 delivery. Fastball only had a little horizontal movement but he was able to command the pitch well. Lots of pitches on the black that were strikes with his fastball. His curveball was average with good drop/depth an",N/A,Good teammate. His D was a joke but he was able to keep it together. Was encouraging his teammates all game.,"Pitched a lot better than his stat line shows. His D was all over the place (3 errors, 3 passed balls). Also had two HBP's and a walk so it was a mess of a game. He rebounded to throw a no hitter through 5 IP. Came out in the 6th and gave up a double to I","Irving bunted at least 6 times against Mayfield because they couldn't hit him. Mayfield fielded most of the bunts and with one exception, made good plays. On that one play, he rushed it and almost sailed it over the first basemen's head. Good fielder for","Supreme athlete. Reminds me a lot of Nola with his delivery, mechanics and composure.",Y,705,208,,4029,,HS,43539,18,Blake Mayfield,59.8,9.0,1.5,23.7,13.2,13.0,0.0,57.1,28.6,BlakeMayfield2019,,RS-Jr.,4
