First Name,Last Name,Date,CLASS,SCOUT_NAME,PLAYER_SCHOOL,CONFERENCE,DIVISION,HEIGHT_IN,WEIGHT,POSITION1,POSITION2,THROWING_SIDE_R_L,BATTING_SIDE_R_L_S,OPPONENT_SCHOOL,OPPONENT_CONFERENCE,GAME,INNINGS_PITCHED,HITS_ALLOWED,RUNS_ALLOWED,STOLEN_BASES_ALLOWED,WALKS,STRIKEOUTS_CALLED_VS_RIGHT,STRIKEOUTS_SWINGING_VS_RIGHT,STRIKEOUTS_CALLED_VS_LEFT,STRIKEOUTS_SWINGING_VS_LEFT,HOME_RUNS_ALLOWED,GROUNDOUTS,FLYOUTS,TIME_TO_HOME,PITCH_TOTAL,STRIKES_TOTAL,BATTERS_FACED,FIRST_PITCH_STRIKES,HITS_ALLOWED_LEFT_SIDE,HITS_ALLOWED_MIDDLE,HITS_ALLOWED_RIGHT_SIDE,FASTBALL_VELO_MIN,FASTBALL_VELO_MAX,FB_PITCH_TYPE,TOTAL_SWINGS_FASTBALL,SWINGS_AND_MISSES_FASTBALL,CHASE_SWINGS_FASTBALL,HARD_CONTACT_FASTBALL,BREAKING_BALL_VELO_MIN,BREAKING_BALL_VELO_MAX,BB_PITCH_TYPE,TOTAL_SWINGS_BREAKING_BALL,SWINGS_AND_MISSES_BREAKING_BALL,CHASE_SWINGS_BREAKING_BALL,HARD_CONTACT_BREAKING_BALL,THIRD_PITCH_VELO_MIN,THIRD_PITCH_VELO_MAX,THIRD_PITCH_TYPE,TOTAL_SWINGS_THIRD_PITCH,SWINGS_AND_MISSES_THIRD_PITCH,CHASE_SWINGS_THIRD_PITCH,HARD_CONTACT_THIRD_PITCH,FOURTH_PITCH_VELO_MIN,FOURTH_PITCH_VELO_MAX,FOURTH_PITCH_TYPE,TOTAL_SWINGS_FOURTH_PITCH,SWINGS_AND_MISSES_FOURTH_PITCH,CHASE_SWINGS_FOURTH_PITCH,HARD_CONTACT_FOURTH_PITCH,SCOUTING_NOTES,INJURY_NOTES,CHARACTER_NOTES,PITCHING_NOTES,FIELDING_NOTES,ATHLETE_NOTES,VIDEO_EXISTS,SCHOOL_ID,SCOUT_ID,GAME_KEY,MATCH_ID,-,DIVISION,DATE,AGE,FIRST&LAST,STRIKE %,K/9,BB/9,MISS%,CHASE%,FB MISS%,FB CHASE%,BB MISS%,BB CHASE%,NameHSGradYR,,,
Bailey,Horn,3/5/2019,RS-So.,Justin Raisanen,Auburn University,Southeastern Conference,1,74,212,P,0,L,L,University of Tennessee at Martin,School Name not found in Schools Tab,University of Tennessee at Martin_vs_Auburn University_03/05/2019,0.33,3,3,0,1,0,1,0,0,0,0,0,0,18,9,5,5,2,0,1,89,91,4-Seam,5,2,1,2,75,75,Curveball,1,0,0,1,86,86,Changeup,0,0,0,0,0,0,0,0,0,0,0,I like how easy Horn throws the ball and I expect him to become more consistent with his release point as he gets more starts under his belt after taking a year off due to injury. It's clear that his biggest issue at this point is with a consistent releas,He is coming off a major injury and year off but his velocity at this early point is encouraging in showing that his arm strength wasn't comprised by the injury and season off.,He appears to take coaching well and was positive and engaged during the mound visit with his pitching coach. He also didn't fret or display any emotion when his coach came out to the mound to talk or make a pitching change. I'm confident he will work on,Horn is a crafty 3-pitch southpaw who utilizes a brief & medium (waist-high) leg raise with a short stride to deliver the ball with easy arm action and from a high 3/4 to 3/4 arm angle. Horn was most effective when he was able to locate his pitches low an,0,0,N,84,158,,3130,,01,43529,21,Bailey Horn,50.0,27.3,27.3,33.3,16.7,40.0,20.0,0.0,0.0,BaileyHorn2016,,,
Ryan,Watson,3/5/2019,Jr.,Justin Raisanen,Auburn University,Southeastern Conference,1,77,215,P,0,R,R,University of Tennessee at Martin,School Name not found in Schools Tab,University of Tennessee at Martin_vs_Auburn University_03/05/2019,2,2,1,0,1,0,1,0,0,0,3,2,0,31,20,9,6,1,0,1,88,91,4-Seam,15,4,2,3,79,82,Slider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"He did a good job of starting hitters with a first-pitch, & staying ahead of batters in general. He was able to throw his slider for strikes, but he only three it 3/31 pitches. Watson showed good lateral-command of his fastball, but he was less accurate l",0,0,Watson throws from a low-3/4 arm slot with fluid arm action. He uses a simple quick and medium leg lift with an average stride to deliver the ball. He slightly elevates his arm angle when he's throwing inside to LH or outside to RH. He is fairly consisten,0,"He projects as a mid-90's, fastball and slider RH relief pitcher; although he needs to develop his velocity as he fills out his large 6'5 frame.",N,84,158,,12147,,01,43529,21,Ryan Watson,64.5,4.5,4.5,26.7,13.3,26.7,13.3,-,-,RyanWatson2016,,,
Isaiah,Nunez,3/3/2019,Sr.,Daryl Semien,California State University-Northridge,Big West,1,75,170,P,0,L,L,University of Michigan-Ann Arbor,Big 10,University of Michigan-Ann Arbor_vs_California State University-Northridge_03/03/2019,6,3,0,0,2,1,1,0,0,0,2,8,0,74,35,20,6,1,0,2,68,73,2-Seam,16,1,2,4,61,67,Curveball,6,1,3,2,64,69,Changeup,7,3,3,2,0,0,0,0,0,0,0,"Isaiah has a tall, long and lanky build. He delivers the ball from a 3/4 arm slot. His fastball showed life with late run. He consistenly pounded the zone and showed confidence in all of his pitches.",0,0,"Isaiah is a crafty left that kept the Michigan hitters on their heals. He showed great confidence in all of his pitches and could throw any pitch at any point in the count. Although he did not overpower Michigan with velocity, he found his success by hitt",0,0,N,278,178,,4685,,01,43527,22,Isaiah Nunez,47.3,3.0,3.0,17.2,27.6,6.3,12.5,16.7,50.0,IsaiahNunez2015,,,
Brian,Van Belle,3/3/2019,RS-Jr.,Alan Alcantar,University of Miami,Atlantic Coast Conference,1,74,180,P,0,R,R,University of Maryland-Baltimore County,America East Conference,University of Maryland-Baltimore County_vs_University of Miami_03/03/2019,5,2,0,1,1,3,5,0,1,0,2,4,0.49,78,40,18,6,0,1,1,82,87,2-Seam,19,3,2,1,76,80,Slider,0,3,3,0,74,77,Changeup,8,4,3,0,0,0,0,0,0,0,0,"Van Belle continued to make his case for an interesting 2019 Daft prospect, by casually cruising through this UMBC lineup and effectively working his consistent repetoire that seemingly continue to get more intricate, and precise, through every outting; w",N/A,"Continued to have a strictly focused attitude on the mound and showcased pure confidence in every pitch, and was very more aware of baserunners during this outting","Van Belle seemed even more in tune with his overall form, by using more of the rubber, and shiftingmore of his weight on the backside during the windup, with a longer leg windup, and really having a uniform extention, and reach, on every pitch; made every","Had a throwing error in an attempt to pick off the lead runner in the top of the first inning, threw the ball to the left of the first basemen, resulting in the runner advancing to third",N/A,Y,2180,1,,3100,,01,43527,22,Brian Van Belle,51.3,16.2,1.8,37.0,29.6,15.8,10.5,-,-,BrianVan Belle2015,,,
Zach,Peek,3/3/2019,Jr.,Joshua Arthurs,Winthrop University,Big South Conference,1,75,185,P,0,R,R,University of Florida,Southeastern Conference,University of Florida_vs_Winthrop University_03/03/2019,3.33,11,10,3,3,0,0,0,0,1,3,6,1.38,88,52,23,11,9,0,0,91,95,4-Seam,25,5,3,5,80,85,Slider,10,1,1,2,80,85,Changeup,5,1,1,1,0,0,0,0,0,0,0,"Rocking delivery to plate, struggled commanding ball to glove side so worked almost exclusively to arm side. Fastball has life but straight, slider well below average but keeps throwing it in zone and down. Gets crushed over plate on fastball and slider.",0,"Went to windup when bases loaded and gave up multiple stolen bases, so obviously much less comfortable pitching from stretch.","Backdoors the slider early in counts but often leaves it over the middle of the plate, batters stay back and pull it to left side.",0,0,Y,2439,6,,1699,,01,43527,21,Zach Peek,59.1,0.0,8.1,17.5,12.5,20.0,12.0,10.0,10.0,ZachPeek2016,,,
Jonathan,Childress,3/3/2019,Fr.,Koby Farries,Texas A & M University-College Station,Southeastern Conference,1,76,190,P,0,L,L,University of Houston,American Athletic Conference,University of Houston_vs_Texas A & M University-College Station_03/03/2019,3,0,0,0,1,1,2,0,0,0,1,5,0,38,22,10,5,0,0,0,89,92,-,7,1,1,0,79,81,Curveball,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jonathan throws from a 3/4 arm slot. He has a lanky frame. He projects as a bullpen arm unless he is able to further develope a better 3rd pitch.,"Childress was pulled after 3inn due to an apparent arm injury. It is feared that it is UCL damage, but there is no official report yet.",Jonathan showed minimal emotion on the mound and seems to get along with his teammates,Jonathan was dominant because he had a great mix of his FB and CB while he was able to command both good.,Jonathan inishes his delivery in a good defensive position and has the speed to cover 1B when needed.,Childress is an athlete,Y,2026,62,,3503,,01,43527,19,Jonathan Childress,57.9,9.0,3.0,20.0,20.0,14.3,14.3,33.3,33.3,JonathanChildress2018,,,
Josh,Burgmann,3/3/2019,RS-Fr.,Ben Pickett,University of Washington-Seattle Campus,Pacific-12 Conference,1,73,200,P,0,R,R,California Polytechnic State University-San Luis Obispo,Big West,California Polytechnic State University-San Luis Obispo_vs_University of Washington-Seattle Campus_03/03/2019,8,3,0,0,1,2,8,0,0,0,12,2,1.38,103,73,28,15,1,2,0,93,88,4-seam,15,4,2,1,75,81,Slider,8,6,5,1,85,86,Changeup,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,2254,152,,8887,,01,43527,20,Josh Burgmann,70.9,11.3,1.1,34.5,24.1,26.7,13.3,75.0,62.5,JoshBurgmann2017,,,
Alejandro,Rosario,3/2/2019,So.,Lukas Gudelis,Miami Christian School (FL),FL,HS,73,165,P,0,R,R,Florida Christian High School,FL,Florida Christian High School_vs_Miami Christian School (FL)_03/02/2019,4,3,1,0,1,1,3,0,0,0,4,1,1.5,49,38,16,10,1,1,1,92,96,4-Seam,12,2,1,2,73,76,Curveball,12,4,2,0,73,77,Changeup,1,0,0,0,80,83,Slider,2,1,1,0,"U Miami commit, 20th ranked player in 2021 class by Perfect Game. Sitting in the mid-90s on his fastball and up to 96. More room to grow as only just turned 17. Easy delivery, high leg kick and throws from high 3/4 arm slot. Arm angle is very slightly fla",0,0,"Started a lot of hitters with off-speed pitches, especially in the middle of the lineup. The opposing hitters were sitting fastball and did better than you would expect a HS lineup to do against a mid 90s fastball. As a result his breaking balls were his",0,"Good athlete, great balance on the mound and looks natural",Y,8791,84,,11742,,HS,43526,20,Alejandro Rosario,77.6,9.0,2.3,25.9,14.8,16.7,8.3,33.3,16.7,AlejandroRosario2017,,,
Allan,Hernandez,3/2/2019,Sr.,Lukas Gudelis,Miami Christian School (FL),FL,HS,77,230,P,0,R,R,Florida Christian High School,FL,Florida Christian High School_vs_Miami Christian School (FL)_03/02/2019,2,2,3,1,2,2,3,0,0,0,1,0,1.46,38,23,12,8,1,1,0,91,93,4-Seam,6,1,1,3,79,84,Slider,5,5,2,0,81,82,Changeup,2,2,2,0,0,0,0,0,0,0,0,FIU commit. Large frame and mature build for his age. High leg kick and throws over the top. Had some issues with trying to overthrow which led to some wild pitches. Projects well if he can find his control. Offspeed pitches well developed already.,0,0,"Had some control issues in this outing, especially pitching out of the stretch. Walked two batters and had a few wild pitches, 2 led to runners scoring from third that ultimately was the difference in a 4-3 loss. On plus side, his off-speed pitches were u",0,Good athlete.,Y,8791,84,,11719,,HS,43526,22,Allan Hernandez,60.5,22.5,9.0,61.5,38.5,16.7,16.7,100.0,40.0,AllanHernandez2015,,,
Ty,Adcock,3/2/2019,RS-Jr.,Daniel Schiff,Elon University,Colonial Athletic Conference,1,72,213,P,OF,R,R,Wagner College,Northeast Conference,Wagner College_vs_Elon University_03/02/2019,1,1,1,0,1,0,0,0,0,1,2,1,0,19,10,5,3,0,0,1,91,94,4-Seam,7,1,0,2,76,70,Curveball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Impressive for converting from a postion player. Projectible on the mound, but needs a little work on other pitches. Has the velocity and command of a fastball, needs to work on curveball and change up, etc.",0,0,"Throws hard but throws a lot of fastballs, does need to learn to go to other pitchers to switch the hitters' mindset.",0,"Plays other positions, has speed around the bases at the plate.",N,641,171,,3126,,01,43526,22,Ty Adcock,52.6,0.0,9.0,14.3,0.0,14.3,0.0,-,-,TyAdcock2015,,,
George,Kirby,3/2/2019,Jr.,Daniel Schiff,Elon University,Colonial Athletic Conference,1,76,201,P,0,R,R,Wagner College,Northeast Conference,Wagner College_vs_Elon University_03/02/2019,3.67,8,6,0,1,1,5,0,0,0,2,3,0,80,56,22,12,5,1,0,89,95,4-Seam,32,11,3,4,77,84,Slider,4,0,0,4,81,81,Changeup,2,2,1,0,0,0,0,0,0,0,0,"Long and Tall to the plate. Has a great arm action. Found the strike zone a lot. Slider was getting hit and getting hit hard. Fastball was the pitch fooling hitters today, even though it wasn't. Had a rough outing. Falls downhill.",No,0,"The ball was being hit around the ball park. Most of the balls were pulled down the line on Sliders. The hitters saw something, because they didn't miss one.",0,"Good athlete, moves well off the mound.",Y,641,171,,1588,,01,43526,21,George Kirby,70.0,14.7,2.5,34.2,10.5,34.4,9.4,0.0,0.0,GeorgeKirby2016,,,
Grant,Cherry,3/2/2019,HS-So.,Daniel Nolen,Vestavia High School,AL,HS,74,180,P,0,R,R,JSerra Catholic High School (CA),CA,JSerra Catholic High School (CA)_vs_Vestavia High School_03/02/2019,4,1,1,2,1,3,1,0,0,0,6,0,1.19,59,40,14,10,1,0,0,84,90,4-Seam,15,2,0,1,68,73,Curveball,3,1,1,0,80,82,Changeup,4,2,0,0,0,0,0,0,0,0,0,"Has an easy, consistent, and repeatable delivery. Throws from a 3/4 arm slot and doesn't over-throw. Threw high 80s with ease. Projectable, has a tall frame and could fill it out more. Loose arm action. Fastball is pretty straight, may need to incorporate","Only threw 59 pitches in this game, seemed to have been able to go longer, but he is only a sophmore so he may get stretched out more as he matures. Easy delivery shows no injury concerns.","Showed some frustration when he struggled in this game, but was able to calm himself down and rarely showed emotion. Very confident for a sophmore.","Attacked hitters. Made one mistake in the zone with a fastball and it got hit hard. Had a HBP on a curveball that didn't break and a wild pitch on a changeup that he yanked, but for the most part pounded the zone. Pitched like a late inning reliever, most","Finishes tall, may not react well to balls back up the middle. Did not have to make any plays in this game.","Appears to be a good athlete, could add a lot more muscle to his frame.",Y,2292,146,,2742,,HS,43526,16,Grant Cherry,67.8,9.0,2.3,22.7,4.5,13.3,0.0,33.3,33.3,GrantCherry2021,,,
Drew,Shifflet,3/2/2019,Fr.,Jerrod Blackmon,Angelina College,Southwest Junior College Conference,JC,72,190,P,0,R,0,Navarro College,Southwest Junior College Conference,Navarro College_vs_Angelina College_03/02/2019,2,2,0,0,0,1,0,0,0,0,2,3,1.42,27,19,8,6,1,1,0,87,91,4-Seam,5,1,0,2,74,77,Curveball,3,0,0,0,82,84,Changeup,5,0,0,2,0,0,0,0,0,0,0,"High leg kick in windup, good mechanics with steady arm action throughout delivery. 3/4 arm slot, but did drop down on occasions to low 3/4. Even so, kept the velocity on fastball. Shows a good curveball, can be loopy at times when he doesn't get on top o",No injuries,Came in and threw his game. Commanded the strike zone and challenged hitters.,"Did well. Came into the game, worked two solid innings on 27 pitches, and showed poise for a freshman facing a team that squares up the ball often.",Set himself to field his position.,"Yes. Young, but good size on him with long legs and above average wing span.",Y,50,18,,11744,,JC,43526,19,Drew Shifflet,70.4,4.5,0.0,7.7,0.0,20.0,0.0,0.0,0.0,DrewShifflet2018,,,
Brandon,Dusenberry,3/2/2019,Sr.,Eric Droegemeier,Angelo State University,Lone Star Conference,2,74,210,P,0,L,L,Tarleton State University,Lone Star Conference,Tarleton State University_vs_Angelo State University_03/02/2019,0,3,2,0,0,0,0,0,0,0,0,0,1.57,13,6,3,1,3,0,0,83,86,4-Seam,2,0,0,1,77,80,Slider,2,1,0,0,80,83,Changeup,1,0,1,1,0,0,0,0,0,0,0,He just did not have it today and was relieved without getting an out,0,0,0,0,0,N,51,52,,11704,,02,43526,22,Brandon Dusenberry,46.2,-,-,20.0,20.0,0.0,0.0,50.0,0.0,BrandonDusenberry2015,,,
Andrew,Croucher,3/2/2019,Sr.,Eric Droegemeier,Angelo State University,Lone Star Conference,2,73,250,P,0,R,R,Tarleton State University,Lone Star Conference,Tarleton State University_vs_Angelo State University_03/02/2019,4.33,6,1,0,2,1,0,0,0,0,6,2,1.53,74,49,24,17,2,3,0,84,87,4-Seam,14,0,0,3,79,83,Slider,9,4,0,4,83,85,Changeup,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,51,52,,11700,,02,43526,22,Andrew Croucher,66.2,2.1,4.2,21.2,0.0,0.0,0.0,44.4,0.0,AndrewCroucher2015,,,
Gavin,Perryman,3/2/2019,HS-So.,Dean Woodward,Jesuit College Preparatory School (TX),TX,HS,73,175,P,CF,R,R,Prestonwood Christian Academy High School (TX),TX,Prestonwood Christian Academy High School (TX)_vs_Jesuit College Preparatory School (TX)_03/02/2019,4,1,2,5,4,1,4,0,1,0,3,3,1.59,69,39,18,12,1,0,0,77,83,2-Seam,15,5,0,0,71,76,Slider,6,4,1,0,62,64,Curveball,3,1,0,0,0,0,0,0,0,0,0,"High 3/4 delivery with good extension Fastball had decent movement on it. Slider was a plus pitch for him that he trusted to get strikes in any count. Good shape and sharp, late movement on it. Only threw his curveball a couple times but it had nice 11/6",N/A,Good mound presence and teammate. D booted some balls around on him but kept his composure.,"Pitched WAY better than the line will suggest. Only gave up one hit with 4 errors and a passed ball. Supposedly just finished basketball a couple days ago so for all the rust, looked really good.",Did not see him field any balls but was always in good position after the pitch.,Great athlete and will continue to fill out. Made a great play in CF as well.,Y,971,208,,3566,,HS,43526,16,Gavin Perryman,56.5,13.5,9.0,41.7,4.2,33.3,0.0,66.7,16.7,GavinPerryman2021,,,
Mitchell,Stone,3/2/2019,RS-Fr.,Matthew Mino,Oklahoma State University-Main Campus,Big 12,1,79,255,P,0,L,0,University of Iowa,Big 10,University of Iowa_vs_Oklahoma State University-Main Campus_03/02/2019,7,2,1,0,1,0,1,1,2,0,10,7,1.47,77,47,24,13,1,0,1,88,90,4-Seam,27,3,2,10,78,79,Slider,0,0,0,0,78,84,Changeup,4,1,1,0,0,0,0,0,0,0,0,"Tall, stocky kid. Upper 3/4 arm angle. Great extension out front, fastball jumps on hitters quick. Consistently in the upper 80s with the fastball. Slider is a good strikeout pitch. Rarely threw it with less than two strikes. Can change speeds with the ch",0,"Shaky first inning with a wild pitch leading to his only run given up. Remained poised and allowed only two baserunners after. Calm, straight faced on the mound. Not a fiery guy but goes about his business. Looks confident and not like a freshman.","Consistently around the zone. Stayed ahead of most hitters, rarely saw three ball counts. Loves to attack with the fastball and gave up some hard contact early in counts. Benefited from a stellar defensive showing behind him and cold weather. Only threw 7",Occasionally off balance on follow through. Had great reaction on a line drive right back to him. Threw the glove up to stop the ball and then made an athletic recovery and strong throw to get the out at first. Showed confidence in his ability to throw th,"Big, athletic kid that moves well for his size. Towering presence on the mound.",Y,1513,132,,3486,,01,43526,20,Mitchell Stone,61.0,5.1,1.3,12.9,9.7,11.1,7.4,-,-,MitchellStone2017,,,
Micheal,Attalah,3/2/2019,Fr.,Ben Pickett,Bellevue College,Northwest Athletic Conference,JC,75,198,P,n/a,R,R,Pierce College,Northwest Athletic Conference,0,5,4,1,3,2,2,6,0,0,0,1,5,1.2,92,52,21,13,3,1,0,86,91,4-seam,29,2,0,3,75,79,Slider,5,2,2,1,83,84,Changeup,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,152,,11688,,JC,43526,19,Micheal Attalah,56.5,14.4,3.6,13.5,5.4,6.9,0.0,40.0,40.0,MichealAttalah2018,,,
Nick,Silva,3/2/2019,Sr.,Matthew Crowder,University of Maine,America East Conference,1,75,210,P,0,R,R,Liberty University,Big South Conference,Liberty University_vs_University of Maine_03/02/2019,3.33,3,2,0,3,4,2,1,0,1,0,5,0,77,41,18,0,1,1,1,87,94,4-Seam,14,5,1,1,70,76,Curveball,11,9,3,1,77,81,Changeup,6,4,0,0,0,0,0,0,0,0,0,"Forcful mound presence, slow and fluid motion with fast strong delivery",none,"In the zone on the mound, takes things seriously",Throws hard with a great curve ball. Not always consistent.,"good reaction to bunt, didnt make the throw in time.",yes,N,2170,38,,998,,01,43526,22,Nick Silva,53.2,18.9,8.1,58.1,12.9,35.7,7.1,81.8,27.3,NickSilva2015,,,
Noah,Skirrow,3/2/2019,So.,Matthew Crowder,Liberty University,Big South Conference,1,75,215,P,0,R,R,University of Maine,America East Conference,University of Maine_vs_Liberty University_03/02/2019,5.33,3,2,0,4,4,1,3,1,0,4,4,0,100,64,25,0,2,1,0,87,92,4-Seam,20,17,2,2,74,83,Curveball,7,6,1,0,80,83,Changeup,1,1,0,0,0,0,0,0,0,0,0,"quick delivery, fastball is his most accurate and best pitch overall",none,"Very serious on the mound, takes warmups and play serious","consistant fastball location, Great control",he is ready to field when the ball is hit.,yes,N,1127,38,,11813,,01,43526,20,Noah Skirrow,64.0,15.2,6.8,85.7,10.7,85.0,10.0,85.7,14.3,NoahSkirrow2017,,,
Evan┬á,Barbrand,3/2/2019,RS-Sr.,Matthew Crowder,Liberty University,Big South Conference,1,74,190,P,0,R,R,University of Maine,America East Conference,University of Maine_vs_Liberty University_03/02/2019,3,5,0,0,0,5,3,2,1,0,4,1,0,43,34,14,0,2,2,1,87,92,4-Seam,13,8,1,4,74,81,Curveball,2,2,1,1,79,81,Changeup,1,1,0,1,0,0,0,0,0,0,0,Long lanky but good overall,none,"Seemed excited to throw on the mound, Loves his fastball","Great curve but didnt throw it often, stuck with fastball which was average",No comment,no,N,1127,38,,11812,,01,43526,23,Evan┬á Barbrand,79.1,33.0,0.0,68.8,12.5,61.5,7.7,100.0,50.0,Evan┬áBarbrand2014,,,
Andrew,McInvale,3/2/2019,RS-Jr.,Matthew Crowder,Liberty University,Big South Conference,1,74,195,P,0,R,R,University of Maine,America East Conference,University of Maine_vs_Liberty University_03/02/2019,6,1,0,1,1,6,3,0,0,0,5,5,0,87,54,20,0,0,1,0,84,90,4-Seam,17,12,2,1,79,84,Slider,2,1,0,0,76,83,Changeup,4,2,0,0,77,83,Curveball,1,0,0,0,"Strong presence, commands the mound",none,strong arm but slow in speed/velocity,needs work on off speed curve and slider,reads off the bat well,yes,N,1127,38,,11733,,01,43526,22,Andrew McInvale,62.1,13.5,1.5,62.5,8.3,70.6,11.8,50.0,0.0,AndrewMcInvale2015,,,
Asa,Lacy,3/2/2019,So.,Koby Farries,Texas A & M University-College Station,Southeastern Conference,1,76,215,P,0,L,L,Texas Christian University,Big 12,Texas Christian University_vs_Texas A & M University-College Station_03/02/2019,7,1,0,1,3,1,6,0,3,0,6,3,0,98,62,24,14,1,0,0,93,96,2-Seam,17,5,2,0,78,80,Curveball,5,2,2,0,83,84,Changeup,6,0,0,0,85,87,Slider,5,2,1,1,Asa has a wide arsenal with a FB CB SL CH. He throws from a high 3/4 arm slot. He pitches with a lot of fire. Asa is however more of a thrower than a pitcher. He relies on his overpowering stuff because his lack of command sometimes shows out. Asa project,No injury notes to report,Asa showed a lot of fire on the mound. A few times after striking out some hitters in big spots he would scream and stare them down.,"Asa was a little wild in this outing, he eventually settled down and gained better control of his FB.",Asa inishes his delivery in a good defensive position and has the speed to cover 1B when needed.,Asa is an athlete,Y,2026,62,,168,,01,43526,20,Asa Lacy,63.3,12.9,3.9,27.3,15.2,29.4,11.8,40.0,40.0,AsaLacy2017,,,
Brett,Gilchrist,3/2/2019,RS-Jr.,Eric Droegemeier,Tarleton State University,Lone Star Conference,2,77,235,P,0,R,R,Angelo State University,Lone Star Conference,Angelo State University_vs_Tarleton State University_03/02/2019,1,2,1,2,0,0,0,0,0,0,2,1,1.47,15,9,6,2,0,1,1,88,93,2-Seam,6,0,0,0,77,80,Curveball,0,0,0,0,83,86,Slider,3,0,0,0,0,0,0,0,0,0,0,"Came in an relieved 1+ inning, walk off run scored off him. Didn't really get a good look at him","Coach told me they are bringing him back verses live batters slowly, wanting to avoid high leverage for him",0,"Showed a nice mix of pitches and some good velocity consistently above 90, struggled with command a bit after 1 inning.",0,Power righty who really utilizes his lower half well,Y,2015,52,,12122,,02,43526,22,Brett Gilchrist,60.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,BrettGilchrist2015,,,
Bryce,Miller,3/2/2019,So.,Koby Farries,Texas A & M University-College Station,Southeastern Conference,1,74,180,P,0,R,R,Texas Christian University,Big 12,Texas Christian University_vs_Texas A & M University-College Station_03/02/2019,0.67,0,0,0,0,0,0,0,0,0,1,1,0,15,8,3,2,0,0,0,91,94,-,2,0,0,0,82,85,Slider,2,0,0,0,79,79,Curveball,0,0,0,0,0,0,0,0,0,0,0,Bryce throws from a 3/4 arm slot. He throws a good firm FB that has a little wiggle in it. He is able to back this up with a tight SL. Bryce projects as a reliever with 2 plus pitches.,No injury notes to report,Bryce showed minimal emotion on the mound and seems to get along with his teammates,"Bryce did not strike anyone out, but he had strikeout stuff. He mixed his mid 90s FB with his late breaking SL.",Bryce inishes his delivery in a good defensive position and has the speed to cover 1B when needed.,Bryce is an athlete,Y,2026,62,,3563,,01,43526,20,Bryce Miller,53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BryceMiller2017,,,
Joseph,Menefee,3/2/2019,Fr.,Koby Farries,Texas A & M University-College Station,Southeastern Conference,1,74,220,P,0,L,L,Texas Christian University,Big 12,Texas Christian University_vs_Texas A & M University-College Station_03/02/2019,0.33,0,0,0,0,0,0,0,1,0,0,0,0,6,5,1,0,0,0,0,91,94,-,0,0,0,0,81,82,Curveball,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Menefee throws from a high 3/4 arm slot. He features a low to mid 90's fastball along with a sweeping curveball which makes him tough agaist lefties. He was able to throw strikeswhen he needed and the moment was not to big for him, even as a freshman. He",No injury notes to report,Joseph showed minimal emotion on the mound and seems to get along with his teammates,Joseph used majority CBs against the LHH he faced. He had great command of the pitch and he was able to throw it for strikes.,"Joseph finishes his delivery in a decent defensive position, but does not have great speed to cover 1B.","Joseph is not an athlete, he has a soft body.",Y,2026,62,,3504,,01,43526,19,Joseph Menefee,83.3,27.3,0.0,33.3,33.3,-,-,33.3,33.3,JosephMenefee2018,,,
Garrett,Schoenle,3/2/2019,So.,Justin Raisanen,University of Cincinnati-Main Campus,American Athletic Conference,1,77,185,P,0,L,L,Auburn University,Southeastern Conference,Auburn University_vs_University of Cincinnati-Main Campus_03/02/2019,1,2,4,0,2,0,1,0,0,0,1,2,0,35,18,8,3,0,0,2,86,90,4-Seam,4,1,0,1,72,77,Curveball,5,0,0,3,79,84,Changeup,6,2,3,1,0,0,0,0,0,0,0,He's a lanky left-hander with a slightly quirky 3/4 delivery that features brief hitch or pause at the beginning of his pitching motion. He has decent arm action with a consistently medium leg lift that is lower out of the stretch versus the windup.,0,"Despite a horrible start that didn't go his way, he still didn't show any signs of emotion, although he did appear rattled late in the in inning after going down 4-2 and issuing a two out balk.","He struggled to throw his fastball consistently for strikes, & threw 18 strikes to 17 balls overall. He only got ahead of 3/8 batters faced and even walked two batters (1 BB, 1 HBP). His Fastball was hit hard for the most part as hitters rarely missed whe",0,0,Y,2145,158,,12121,,01,43526,20,Garrett Schoenle,51.4,9.0,18.0,20.0,20.0,25.0,0.0,0.0,0.0,GarrettSchoenle2017,,,
